prompt,answer
The immediate cause of Southern secession from the Union was,the election of Abraham Lincoln
"In his opinion in the case of Dred Scott v. Sanford, Chief Justice Taney stated all the following EXCEPT:","As long as society provided separate but equal opportunities to African slaves, it did not have to do anything more for them."
Why did Thoreau and other abolitionists praise John Brown?,They admired his long history of helping African Americans and dealing fairly with them.
The Union strategy for winning the war included all the following EXCEPT:,capturing and killing Confederate President Jefferson Davis
The Union was more likely to win a war of attrition because,it had a larger pool of available reinforcements and could resupply its troops
"The Emancipation Proclamation, by implication, extended which of the following offers to Confederate states?",They could keep their slaves if they abandoned the Confederacy and rejoined the Union.
Andrew Johnson was impeached primarily because he,disagreed with the congressional majority on domestic policy
Southern Democrats did all the following to bar likely Republican voters from the polls EXCEPT:,passed laws that denied them the right to vote
Many active supporters of the women's suffrage movement opposed the Fifteenth Amendment because,women were angry that the Fifteenth Amendment did not give them the right to vote
The U.S. government insisted on moving Native Americans to reservations primarily because,settlers from the East were greedy for the Native Americans' ancestral lands
The Pacific Railway Act had all the following effects EXCEPT:,a decline in production in the steel industry
African Americans traveled west after the Civil War for all the following reasons EXCEPT:,to work in the fur-trading industry
All the following inventions were developed during the Second Industrial Revolution EXCEPT:,the cotton gin
"In a dispute with owners or management, workers had all the following advantages EXCEPT:",They could not be replaced easily.
"In the early 1900's, nativists supported restrictions on immigration for all the following reasons EXCEPT:",They did not want to learn to speak foreign languages.
The settlement-house movement had all the following goals EXCEPT:,to integrate city school systems
